ISSUER,full_name,vote_raw,against_reason,investor,vote
Whitbread Plc,Approve Remuneration Report,For,No comment available,Aviva Investors Global Services Ltd.,FOR
WPP Plc,Approve Compensation Committee Report,Against,Too much vesting at threshold or median performance,Aviva Investors Global Services Ltd.,AGAINST
3i Group,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Airtel Africa Plc,Approve Remuneration Report,Against,Remuneration Policy not aligned with long-term shareholder interests,AXA Investment Managers (Paris) SA,AGAINST
Anglo American Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Ashtead Group,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Associated British Foods,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Auto Trader Group,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Barclays,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Barratt Developments,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Beazley,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Berkeley Group Holdings,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
BP Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,Against,Lack of ESG performance criteria.,AXA Investment Managers (Paris) SA,AGAINST
British Land Co,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Burberry Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Centrica,Approve Remuneration Report,Against,Remuneration Policy not aligned with long-term shareholder interests.,AXA Investment Managers (Paris) SA,AGAINST
Compass Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
ConvaTec Group,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Croda International Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
DCC Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Diageo Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Experian Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Fresnillo Plc,Approve Remuneration Report,Against,"Annual increases in salary for top executives are expected to be low and ideally lower proportionally than general increases across the broader workforce, especially in regards with a mixed shareholder experience during the year.",AXA Investment Managers (Paris) SA,AGAINST
GSK Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Haleon Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Halma Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Hargreaves Lansdown Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Informa Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Intertek Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
JD Sports Fashion Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Kingfisher Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
M&G,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
National Grid Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Next Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Ocado Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Pearson Plc,Approve Remuneration Report,Against,Remuneration Policy not aligned with long-term shareholder interests,AXA Investment Managers (Paris) SA,AGAINST
Persimmon Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Phoenix Group Holdings,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Prudential Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Relx Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Rentokil Initial,Approve Remuneration Report,Against,Salary increases for executives are not aligned with the rest of the workforce.,AXA Investment Managers (Paris) SA,AGAINST
Rightmove Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
RS Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,Against,Increase in CEO base salary not aligned with the rest of the workforce.,AXA Investment Managers (Paris) SA,AGAINST
Sainsbury /(J Sainsbury Plc),Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Segro,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Severn Trent Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Smurfit Kappa Group,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
SSE Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
St. James's Place Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Standard Chartered Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Taylor Wimpey Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Tesco Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
Whitbread Plc,Approve Remuneration Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
WPP Plc,Approve Compensation Committee Report,For,No comment available,AXA Investment Managers (Paris) SA,FOR
3i Group,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Abrdn Plc,Approve Remuneration Report,Against,No comment available,Baillie Gifford & Co.,AGAINST
Admiral Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Anglo American Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Ashtead Group,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Auto Trader Group,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Aviva,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
B&M European Value Retail,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Barclays,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Beazley,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Berkeley Group Holdings,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
BP Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comment available,Baillie Gifford & Co.,FOR
British Land Co,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
BT Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Burberry Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Centrica,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Compass Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Croda International Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Diageo Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Entain Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Experian Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Flutter Entertainment Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Frasers Group,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,Baillie Gifford & Co.,FOR
GSK Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Haleon Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Halma Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Hiscox Ltd,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,Baillie Gifford & Co.,FOR
Informa Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Intertek Group Plc,Approve Remuneration Report,Against,We opposed two resolutions relating to executive remuneration as we have reservations over the choice of return on invested capital as a long-term performance metric.,Baillie Gifford & Co.,AGAINST
Kingfisher Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
M&G,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Mondi Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Next Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Ocado Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Pearson Plc,Approve Remuneration Report,Against,No comment available,Baillie Gifford & Co.,AGAINST
Persimmon Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Phoenix Group Holdings,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Prudential Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Relx Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Rentokil Initial,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Rightmove Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comment available,Baillie Gifford & Co.,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comment available,Baillie Gifford & Co.,FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Schroders Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Segro,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Severn Trent Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Smurfit Kappa Group,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
St. James's Place Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Standard Chartered Plc,Approve Remuneration Report,Against,We opposed the resolution to approve the remuneration report because we have concerns with how the company is choosing to calculate pension contribution and variable incentives.,Baillie Gifford & Co.,AGAINST
Taylor Wimpey Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Tesco Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
Whitbread Plc,Approve Remuneration Report,For,No comment available,Baillie Gifford & Co.,FOR
WPP Plc,Approve Compensation Committee Report,For,No comment available,Baillie Gifford & Co.,FOR
3i Group,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Abrdn Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Admiral Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Airtel Africa Plc,Approve Remuneration Report,Against,Remuneration arrangements are poorly structured. Vesting conditions and performance hurdles are unsatisfactory. Poor use of remuneration committee discretion regarding the grant of a one-off award.,"Blackrock, Inc",AGAINST
Anglo American Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Antofagasta Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Ashtead Group,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Auto Trader Group,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Aviva,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
B&M European Value Retail,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Barclays,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Beazley,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Berkeley Group Holdings,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
BP Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comment available,"Blackrock, Inc",FOR
British Land Co,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
BT Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Burberry Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Centrica,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Compass Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
ConvaTec Group,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Croda International Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
DCC Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Diageo Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
DS Smith Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Entain Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Experian Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
F&C Investment Trust Plc (Foreign & Colonial Investment Trust Plc),Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Flutter Entertainment Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Frasers Group,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Fresnillo Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,"Blackrock, Inc",FOR
GSK Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Haleon Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Halma Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Hiscox Ltd,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,"Blackrock, Inc",FOR
Informa Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
International Consolidated Airlines Group SA,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Intertek Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
JD Sports Fashion Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Johnson Matthey Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Kingfisher Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
M&G,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Mondi Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
National Grid Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Natwest Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Next Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Ocado Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Pearson Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Persimmon Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Phoenix Group Holdings,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Prudential Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Relx Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Rentokil Initial,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Rightmove Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comment available,"Blackrock, Inc",FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comment available,"Blackrock, Inc",FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
RS Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Sainsbury /(J Sainsbury Plc),Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Schroders Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Segro,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Severn Trent Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Smurfit Kappa Group,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
SSE Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
St. James's Place Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Standard Chartered Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Taylor Wimpey Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Tesco Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Vodafone Group Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
Whitbread Plc,Approve Remuneration Report,For,No comment available,"Blackrock, Inc",FOR
WPP Plc,Approve Compensation Committee Report,For,No comment available,"Blackrock, Inc",FOR
Abrdn Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Ashtead Group,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
AstraZeneca,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Barclays,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Barratt Developments,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Berkeley Group Holdings,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
BP Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comments available,BMO Global Asset Management,FOR
Bunzl Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Centrica,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Compass Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
ConvaTec Group,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Croda International Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
DCC Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
GSK Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Hargreaves Lansdown Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comments available,BMO Global Asset Management,FOR
Intertek Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Kingfisher Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Mondi Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
National Grid Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Pearson Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Phoenix Group Holdings,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Prudential Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Relx Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comments available,BMO Global Asset Management,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comments available,BMO Global Asset Management,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Sainsbury /(J Sainsbury Plc),Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Segro,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Severn Trent Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Smurfit Kappa Group,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
SSE Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
St. James's Place Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Taylor Wimpey Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Tesco Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Vodafone Group Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
Whitbread Plc,Approve Remuneration Report,For,No comments available,BMO Global Asset Management,FOR
3i Group,Approve Remuneration Report,For,No comment available,BNP Paribas Asset Management France SAS,FOR
Anglo American Plc,Approve Remuneration Report,For,No comment available,BNP Paribas Asset Management France SAS,FOR
Antofagasta Plc,Approve Remuneration Report,Against,No comment available,BNP Paribas Asset Management France SAS,AGAINST
